SAMPLEID,LATITUDE,LONGITUDE,SAMPLETYPE,COLLARID,FROMDEPTH,TODEPTH,Cu_ppm,SPURIOUS,Dataset
19904570,-31.352741,121.506134,DRILLRC,931966,58.0,223840.0,201.0,0.0,Drillhole Original
19904571,-31.352741,121.506134,DRILLRC,931966,59.0,223841.0,47.0,0.0,Drillhole Original
19904561,-31.352741,121.506134,DRILLRC,931966,49.0,223831.0,20.0,0.0,Drillhole Original
19904560,-31.352741,121.506134,DRILLRC,931966,48.0,223830.0,109.0,0.0,Drillhole Original
19904559,-31.352741,121.506134,DRILLRC,931966,47.0,223829.0,84.0,0.0,Drillhole Original
19904536,-31.352734,121.5063,DRILLRC,931965,31.0,223806.0,73.0,0.0,Drillhole Original
19904535,-31.352734,121.5063,DRILLRC,931965,30.0,223805.0,99.0,1.0,Drillhole Original
19904534,-31.352734,121.5063,DRILLRC,931965,29.0,223804.0,90.0,0.0,Drillhole Original
19904532,-31.352734,121.5063,DRILLRC,931965,27.0,223802.0,40.0,0.0,Drillhole Original
19904531,-31.352734,121.5063,DRILLRC,931965,26.0,223801.0,26.0,0.0,Drillhole Original
19904403,-31.35326,121.50676,DRILLRC,931961,28.0,223573.0,54.0,0.0,Drillhole Original
19904404,-31.35326,121.50676,DRILLRC,931961,29.0,223574.0,148.0,0.0,Drillhole Original
19904410,-31.35326,121.50676,DRILLRC,931961,35.0,223580.0,175.0,0.0,Drillhole Original
19904399,-31.35326,121.50676,DRILLRC,931961,24.0,223569.0,72.0,0.0,Drillhole Original
19904398,-31.35326,121.50676,DRILLRC,931961,20.0,223568.0,123.0,0.0,Drillhole Original
19904436,-31.353035,121.50596,DRILLRC,931962,60.0,223606.0,83.0,0.0,Drillhole Original
19904435,-31.353035,121.50596,DRILLRC,931962,56.0,223605.0,105.0,0.0,Drillhole Original
19904434,-31.353035,121.50596,DRILLRC,931962,52.0,223604.0,94.0,0.0,Drillhole Original
19904433,-31.353035,121.50596,DRILLRC,931962,48.0,223603.0,101.0,0.0,Drillhole Original
19904432,-31.353035,121.50596,DRILLRC,931962,44.0,223602.0,172.0,0.0,Drillhole Original
19904431,-31.353035,121.50596,DRILLRC,931962,40.0,223601.0,104.0,0.0,Drillhole Original
19904430,-31.353035,121.50596,DRILLRC,931962,36.0,223600.0,85.0,0.0,Drillhole Original
19904429,-31.353035,121.50596,DRILLRC,931962,32.0,223599.0,153.0,0.0,Drillhole Original
